mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
194708,0.03%,-1.78%,-1.34%,-3.69%,-2.48%,-10.45%,-0.22%,-0.03%,0.83%,-3.83%,-0.58%,-0.03%,-2.71%,-0.61%,-2.36%,-3.68%,-1.08%,0.97%,-2.02%,0.74%,-2.35%,0.24%,0.36%,-0.54%,-5.03%,-0.23%,-2.34%,-1.37%,-3.60%,-6.81%,-1.30%,-0.84%
194709,0.06%,-0.50%,-0.40%,11.81%,-0.68%,-0.95%,-2.26%,1.84%,-2.12%,-2.62%,-0.95%,1.97%,0.75%,0.54%,2.70%,1.25%,0.43%,1.67%,-1.90%,11.83%,-2.95%,-1.31%,0.84%,-0.42%,0.99%,2.43%,-1.32%,-0.11%,-2.33%,0.86%,0.70%,1.43%
194710,0.06%,2.40%,2.61%,-4.57%,-1.57%,-1.08%,4.03%,5.56%,2.95%,1.22%,1.15%,3.50%,3.77%,5.55%,4.40%,1.58%,2.68%,0.85%,0.78%,2.64%,5.29%,0.15%,0.21%,2.13%,1.97%,2.93%,0.53%,1.61%,2.82%,0.22%,3.00%,6.61%
194711,0.06%,-1.89%,-2.53%,-1.92%,0.87%,-2.48%,-5.73%,-2.96%,-0.71%,-3.04%,-0.74%,-0.71%,-2.18%,-0.08%,-0.73%,-1.75%,-2.72%,-1.45%,1.83%,4.49%,-0.43%,-7.60%,-2.57%,-3.38%,1.32%,-3.89%,-2.87%,-2.26%,-1.84%,-1.18%,-1.61%,-0.43%
194712,0.08%,2.94%,0.03%,-1.11%,1.08%,-6.52%,-1.07%,0.91%,3.61%,3.10%,1.86%,4.90%,2.74%,3.69%,3.26%,3.31%,2.47%,1.55%,-4.78%,4.33%,9.39%,1.19%,0.44%,-2.25%,1.23%,3.06%,8.29%,0.14%,0.12%,5.85%,0.99%,-0.19%
194801,0.07%,-3.80%,-2.99%,-3.14%,-1.61%,-5.47%,-3.43%,-3.43%,-1.38%,-8.23%,-4.43%,-2.93%,-5.75%,-4.08%,-3.43%,-4.03%,-5.15%,1.71%,1.65%,-1.17%,-7.55%,-0.21%,0.11%,-0.27%,-7.80%,-5.73%,-0.37%,-2.60%,-2.59%,-5.25%,-1.28%,-5.67%
194802,0.07%,-4.41%,-6.69%,-8.48%,-2.45%,-6.17%,-4.64%,-4.10%,-7.75%,-3.53%,-5.59%,-7.27%,-5.73%,-5.04%,-5.94%,-5.05%,-5.64%,-5.14%,-1.90%,-5.43%,-2.91%,-3.47%,-1.06%,-7.08%,-2.17%,-5.16%,-3.76%,-6.58%,-3.81%,-1.46%,-5.15%,2.28%
194803,0.09%,8.19%,6.55%,11.26%,-1.71%,25.22%,5.86%,3.21%,6.25%,6.33%,8.18%,9.05%,7.84%,12.79%,9.43%,11.85%,7.25%,15.89%,8.10%,10.54%,9.92%,6.61%,1.96%,-0.71%,9.97%,8.32%,8.68%,7.57%,7.21%,0.02%,8.03%,6.87%
194804,0.08%,3.70%,1.38%,-0.73%,-0.89%,-2.93%,6.05%,4.14%,2.44%,2.14%,2.55%,5.42%,-0.23%,2.32%,3.57%,-1.58%,0.93%,2.34%,4.74%,4.75%,11.34%,1.50%,2.65%,4.09%,0.95%,6.31%,3.59%,9.89%,4.24%,-4.26%,4.29%,1.92%
194805,0.08%,7.38%,3.71%,12.72%,2.87%,6.98%,8.32%,6.04%,4.39%,6.78%,7.77%,11.99%,9.77%,8.05%,7.91%,16.99%,14.23%,3.61%,4.19%,11.07%,5.99%,5.74%,2.49%,7.56%,6.26%,9.65%,6.20%,2.99%,9.15%,9.71%,9.79%,6.41%
194806,0.09%,-0.11%,-1.31%,-5.57%,-1.59%,-10.31%,0.37%,-1.29%,-2.15%,-2.19%,0.45%,-3.71%,-3.81%,0.19%,-1.50%,-0.67%,0.54%,-3.98%,-0.71%,1.41%,3.53%,2.59%,0.44%,0.05%,-2.69%,-3.46%,0.41%,1.26%,-1.11%,-3.90%,-0.32%,0.21%
194807,0.08%,-5.12%,-3.16%,-3.65%,4.39%,-7.55%,-4.27%,-1.71%,-1.32%,-4.25%,-5.76%,-2.52%,-6.36%,-3.91%,-7.26%,-7.35%,-4.58%,-1.63%,-3.26%,-2.98%,-7.26%,-4.33%,-1.65%,-7.49%,-5.26%,-4.33%,-4.56%,-5.05%,-7.67%,-4.07%,-5.69%,-4.07%
194808,0.09%,0.30%,-0.20%,0.11%,1.91%,5.62%,0.97%,-0.31%,-1.85%,-1.90%,-0.33%,-1.41%,1.53%,1.63%,-1.53%,1.26%,1.16%,0.51%,-0.22%,0.01%,-2.05%,0.09%,0.06%,1.25%,6.24%,0.37%,2.14%,-4.41%,2.70%,-1.18%,-0.82%,2.19%
194809,0.04%,-2.99%,-4.39%,-1.23%,-3.15%,-7.22%,-6.73%,-3.44%,-1.49%,-3.08%,-1.81%,-5.43%,-4.03%,-2.15%,-4.53%,-2.34%,-3.50%,-1.87%,-2.58%,-5.58%,-4.44%,-0.90%,-0.23%,-4.24%,-4.53%,-4.18%,-3.94%,-2.77%,-0.80%,-2.72%,-0.88%,-3.62%
194810,0.04%,5.97%,3.85%,5.31%,3.44%,2.31%,0.99%,3.97%,1.78%,5.19%,7.11%,2.92%,7.72%,8.35%,5.99%,7.78%,7.80%,2.42%,4.38%,7.36%,9.23%,4.40%,1.11%,4.07%,5.27%,5.28%,4.97%,4.68%,4.16%,2.47%,6.07%,3.11%
194811,0.04%,-9.10%,-6.15%,-7.87%,-2.88%,-3.81%,-11.21%,-6.06%,-6.68%,-5.74%,-8.48%,-10.00%,-8.19%,-12.51%,-10.83%,-11.77%,-12.13%,-13.64%,-6.78%,-4.77%,-12.32%,-9.09%,-2.06%,-6.61%,-4.86%,-10.31%,-12.74%,-5.81%,-4.45%,-6.18%,-8.65%,-9.03%
194812,0.04%,3.18%,1.13%,0.78%,0.79%,5.95%,-2.22%,0.07%,0.20%,4.54%,7.49%,-1.61%,1.94%,1.93%,2.17%,6.90%,3.98%,2.46%,-0.08%,-2.01%,4.86%,2.67%,1.08%,-0.45%,5.36%,4.87%,1.99%,0.80%,1.41%,1.40%,6.14%,-0.77%
194901,0.10%,0.20%,3.60%,2.44%,4.81%,1.63%,4.27%,0.27%,4.24%,4.57%,-0.26%,2.47%,0.73%,0.81%,-1.53%,-3.00%,2.69%,1.45%,1.63%,-4.73%,-3.81%,4.77%,-1.26%,3.08%,1.38%,0.38%,0.28%,3.08%,0.93%,0.05%,-0.86%,2.94%
194902,0.09%,-3.04%,-2.37%,-1.72%,0.36%,1.66%,-7.36%,-8.55%,-4.57%,-0.93%,-2.18%,-1.88%,-2.80%,-5.87%,-3.54%,-5.83%,-3.51%,-2.03%,0.95%,-8.16%,-4.23%,0.67%,-0.30%,-5.49%,-1.68%,-0.50%,-5.69%,-3.87%,-3.11%,1.14%,-0.72%,-2.17%
194903,0.10%,4.05%,4.40%,5.79%,0.93%,3.77%,9.38%,9.18%,3.89%,5.50%,2.87%,-2.28%,4.24%,1.44%,5.71%,5.71%,3.53%,7.23%,4.21%,5.12%,6.08%,3.76%,1.36%,3.56%,5.99%,3.20%,4.21%,2.65%,4.37%,2.48%,7.37%,4.01%
194904,0.09%,-1.88%,-1.93%,-1.99%,0.22%,-0.06%,-0.33%,-1.18%,-2.42%,0.24%,-2.39%,-3.84%,-3.73%,-4.84%,-3.97%,-4.10%,-4.01%,-5.04%,1.09%,-8.20%,1.46%,1.22%,-1.64%,7.26%,-3.12%,-3.84%,-2.83%,-1.67%,-1.66%,0.37%,-0.32%,-7.17%
194905,0.10%,-2.84%,-1.31%,-1.00%,2.91%,-2.40%,-2.21%,-0.42%,-1.11%,-1.88%,-0.97%,-1.31%,-3.32%,-6.51%,-3.04%,-5.91%,-2.96%,-6.34%,-1.23%,-0.85%,-5.71%,-0.57%,-2.17%,-3.36%,-4.41%,-3.60%,-3.35%,-5.37%,1.43%,-0.24%,-1.95%,-1.23%
194906,0.10%,0.21%,0.42%,3.33%,-0.06%,0.83%,0.15%,-0.98%,3.41%,2.16%,0.67%,4.87%,1.33%,-1.28%,2.98%,0.24%,1.02%,-0.45%,-2.20%,0.10%,-1.20%,-0.92%,1.13%,3.56%,-0.08%,-0.29%,-2.10%,2.11%,3.69%,0.24%,-0.65%,-1.37%
194907,0.09%,5.49%,5.31%,7.24%,3.09%,0.98%,3.65%,8.96%,3.88%,6.00%,4.60%,5.90%,7.33%,7.79%,5.07%,7.08%,9.12%,3.51%,3.30%,6.51%,6.23%,4.74%,2.41%,9.02%,6.64%,5.95%,3.99%,4.37%,4.70%,4.24%,6.34%,8.79%
194908,0.09%,2.57%,4.49%,4.51%,3.51%,0.05%,5.62%,4.11%,2.75%,0.19%,3.23%,2.15%,2.41%,-0.29%,2.67%,0.88%,1.82%,0.38%,2.45%,2.96%,5.53%,3.68%,0.98%,2.52%,0.56%,5.53%,0.75%,3.31%,1.27%,-1.29%,2.61%,1.13%
194909,0.09%,3.09%,2.35%,5.67%,2.68%,1.48%,2.54%,3.16%,4.31%,1.86%,4.93%,2.74%,3.02%,3.56%,3.27%,3.52%,2.38%,3.84%,1.69%,3.52%,3.02%,4.05%,1.23%,11.90%,3.83%,4.61%,2.78%,4.49%,2.02%,2.10%,6.29%,3.81%
194910,0.09%,3.03%,2.20%,2.85%,-1.39%,3.65%,2.24%,8.94%,4.18%,3.38%,4.16%,1.43%,3.35%,5.05%,2.94%,2.66%,7.20%,3.48%,3.72%,-0.65%,3.79%,1.31%,1.88%,1.63%,5.36%,4.91%,0.93%,1.00%,0.33%,2.24%,4.23%,2.49%
194911,0.08%,1.80%,1.91%,4.49%,2.19%,0.38%,-2.57%,3.91%,-0.69%,4.81%,5.06%,0.70%,4.34%,2.68%,-0.33%,4.03%,4.45%,-0.47%,-0.06%,4.02%,-2.88%,3.28%,1.67%,0.21%,3.70%,2.58%,0.85%,1.13%,2.46%,3.12%,3.04%,2.87%
194912,0.09%,5.12%,5.83%,4.36%,2.45%,10.38%,7.06%,5.84%,4.93%,8.70%,5.86%,7.04%,7.27%,6.26%,5.90%,9.32%,8.81%,7.30%,1.67%,-2.47%,1.16%,3.25%,1.59%,4.88%,8.94%,8.60%,8.31%,4.32%,4.66%,5.49%,6.16%,2.34%
195001,0.09%,1.64%,1.67%,3.67%,-0.85%,-0.65%,2.58%,2.56%,0.08%,1.06%,0.93%,3.22%,-0.16%,3.69%,1.65%,5.43%,1.67%,5.12%,4.19%,3.55%,-0.72%,3.75%,1.86%,2.50%,3.24%,3.52%,4.67%,0.90%,-0.05%,1.64%,1.71%,4.11%
195002,0.09%,1.37%,1.68%,-1.07%,1.43%,-7.17%,-1.95%,4.14%,-5.03%,1.92%,0.98%,-4.55%,1.69%,3.38%,0.38%,4.36%,3.73%,5.81%,-0.51%,-3.03%,-0.49%,2.40%,0.66%,-1.15%,1.98%,-0.25%,1.70%,1.62%,1.48%,2.06%,3.45%,5.03%
195003,0.10%,1.12%,0.17%,-0.29%,-0.66%,-1.64%,-3.15%,-0.34%,-0.44%,-2.90%,3.58%,-4.76%,0.90%,-1.49%,-1.10%,4.07%,1.59%,-3.24%,-2.24%,1.03%,4.91%,0.56%,4.57%,2.95%,-0.09%,2.09%,-0.79%,-0.50%,-0.70%,-1.87%,0.00%,1.02%
195004,0.09%,3.94%,-0.35%,2.72%,-2.83%,3.43%,2.12%,8.04%,1.51%,5.52%,9.42%,7.50%,4.40%,7.55%,2.75%,6.71%,10.39%,10.65%,4.13%,-3.29%,3.34%,0.95%,2.37%,-0.16%,1.62%,7.65%,1.09%,-0.41%,-0.26%,6.42%,-0.55%,0.50%
195005,0.10%,4.27%,2.35%,-0.19%,0.48%,-4.25%,0.35%,5.23%,6.49%,3.96%,7.45%,3.27%,4.30%,6.21%,4.12%,0.35%,6.87%,-1.08%,2.68%,7.96%,8.81%,1.83%,1.97%,10.68%,0.03%,7.11%,0.30%,5.27%,2.44%,-0.13%,4.73%,4.07%
195006,0.10%,-5.89%,-6.64%,-2.17%,-4.48%,-6.15%,-6.32%,-8.46%,-5.28%,-4.19%,-6.69%,-4.89%,-8.64%,-4.12%,-5.81%,-7.75%,-3.92%,-5.03%,-6.21%,-7.62%,-4.47%,-7.66%,-4.28%,-9.28%,-8.30%,-10.56%,-6.35%,-7.34%,-4.38%,-4.46%,-7.63%,-8.47%
195007,0.10%,1.51%,-2.42%,5.96%,-1.90%,4.80%,-4.24%,-2.15%,5.92%,-6.94%,-3.81%,16.85%,-7.11%,12.15%,4.95%,-1.59%,-1.10%,17.40%,3.34%,20.48%,8.62%,-5.23%,-1.32%,-1.00%,-5.13%,0.51%,16.15%,3.82%,-0.91%,-0.43%,-5.98%,-7.51%
195008,0.10%,4.97%,5.33%,3.22%,0.35%,2.88%,8.57%,10.79%,3.54%,3.68%,7.78%,2.78%,6.70%,4.78%,4.60%,3.91%,8.92%,-2.14%,8.34%,4.94%,4.31%,3.39%,2.56%,6.25%,7.61%,10.58%,0.02%,11.81%,3.79%,5.13%,4.38%,5.10%
195009,0.10%,4.78%,3.82%,10.13%,4.76%,10.93%,14.19%,3.43%,5.95%,6.16%,4.20%,4.52%,8.56%,3.13%,7.06%,4.66%,8.38%,-0.45%,9.38%,3.23%,3.54%,4.51%,-0.46%,5.62%,5.60%,6.55%,4.28%,5.24%,7.90%,6.53%,8.52%,6.93%
195010,0.12%,-0.23%,-0.43%,-1.16%,0.16%,-5.89%,-0.63%,-0.83%,-0.25%,-1.76%,-0.85%,-0.47%,-1.68%,3.98%,-0.76%,-1.39%,0.42%,2.26%,-1.96%,-2.66%,0.34%,-0.74%,0.21%,-1.16%,-1.64%,0.02%,-0.76%,-3.61%,1.10%,-1.78%,-1.08%,0.18%
195011,0.11%,2.74%,-0.58%,3.21%,-1.74%,-1.32%,-2.01%,1.09%,3.33%,4.68%,7.67%,2.26%,4.48%,5.26%,3.14%,0.53%,-1.84%,6.24%,7.47%,4.90%,5.28%,-1.18%,-0.24%,-2.23%,6.17%,7.01%,4.18%,3.60%,0.44%,1.55%,2.75%,1.34%
195012,0.11%,5.66%,1.46%,6.40%,-1.38%,1.03%,2.29%,1.60%,6.35%,6.06%,6.18%,12.45%,3.04%,7.53%,9.94%,5.05%,2.30%,11.46%,8.53%,13.84%,8.59%,3.59%,1.88%,1.20%,2.07%,6.12%,15.87%,4.19%,2.80%,3.82%,4.48%,2.94%
195101,0.13%,5.69%,4.54%,8.69%,3.71%,4.81%,6.96%,7.65%,2.22%,3.10%,4.32%,3.73%,8.11%,8.50%,6.39%,10.43%,9.00%,3.08%,6.13%,4.01%,6.34%,5.04%,1.88%,5.02%,3.40%,5.35%,8.28%,5.22%,3.00%,7.55%,2.20%,9.83%
195102,0.10%,1.34%,1.81%,-3.40%,-0.77%,4.58%,0.11%,1.51%,2.46%,1.46%,2.64%,2.64%,3.23%,-2.33%,1.71%,1.32%,2.96%,1.74%,0.19%,0.26%,0.97%,3.11%,4.11%,0.41%,0.25%,1.83%,-2.28%,-1.53%,3.80%,2.70%,2.25%,1.58%
195103,0.11%,-2.20%,-1.25%,-4.74%,-1.58%,-5.59%,-4.33%,-3.19%,-4.92%,1.70%,-1.76%,-9.28%,0.59%,-5.12%,-4.51%,-0.31%,0.93%,-7.90%,-4.17%,-5.97%,-2.31%,-1.39%,-1.10%,0.72%,-1.94%,-1.96%,-3.62%,0.51%,-1.99%,-3.79%,0.48%,-0.41%
195104,0.13%,4.83%,0.43%,5.00%,-0.59%,1.49%,2.76%,1.37%,1.11%,10.41%,8.30%,2.25%,3.82%,6.54%,4.69%,2.90%,4.33%,5.49%,6.14%,-2.51%,11.03%,0.22%,0.85%,-1.39%,3.64%,8.76%,3.60%,0.13%,0.22%,-1.58%,3.81%,3.41%
195105,0.12%,-2.38%,-1.14%,-0.14%,-2.09%,-4.40%,-5.19%,-2.08%,-2.25%,1.57%,-0.32%,-0.60%,-4.22%,-3.73%,-2.58%,-3.38%,-5.01%,-2.73%,-3.09%,-0.68%,-3.04%,-0.05%,-0.41%,-0.45%,-1.70%,-2.81%,-3.92%,7.55%,-2.06%,-5.38%,-1.55%,-0.94%
195106,0.12%,-2.65%,-3.43%,-2.55%,-3.68%,-0.06%,-3.57%,-8.43%,-2.58%,0.83%,-0.69%,-5.29%,-2.22%,-8.16%,-4.90%,-1.65%,-6.66%,-8.74%,-4.69%,-0.16%,1.11%,-0.41%,-0.18%,-1.61%,-1.52%,-1.76%,-7.86%,-7.28%,-2.13%,-5.06%,-0.15%,-1.66%
195107,0.13%,6.99%,3.15%,5.27%,3.07%,7.21%,1.92%,7.35%,1.07%,14.46%,8.14%,2.35%,7.36%,9.67%,6.59%,5.02%,4.35%,9.89%,6.79%,5.24%,11.46%,5.30%,2.80%,1.40%,6.75%,6.51%,8.46%,11.38%,2.19%,3.77%,5.92%,4.90%
195108,0.13%,4.38%,3.52%,2.85%,3.44%,6.15%,3.96%,2.54%,3.08%,-1.43%,2.34%,4.22%,4.86%,9.77%,4.73%,7.27%,7.15%,3.92%,9.76%,8.00%,5.71%,2.13%,2.64%,1.00%,3.68%,3.72%,1.48%,3.38%,2.92%,5.24%,4.13%,2.69%
195109,0.12%,0.80%,-0.84%,4.07%,0.25%,9.67%,-0.72%,0.37%,-2.38%,-1.82%,-1.29%,-2.25%,1.15%,1.30%,1.86%,3.56%,2.52%,3.84%,5.99%,5.17%,-0.84%,1.33%,-0.04%,0.32%,2.97%,-0.90%,3.61%,16.97%,2.44%,-0.33%,1.26%,0.14%
195110,0.16%,-2.40%,-3.52%,-3.50%,-2.36%,-3.58%,-0.19%,-2.77%,-0.70%,-5.97%,-7.57%,-3.32%,-1.93%,-1.52%,-2.36%,-6.41%,-2.03%,-1.57%,-5.12%,-1.55%,1.21%,0.71%,-1.08%,0.62%,-6.25%,-3.43%,-4.08%,-9.39%,-2.54%,0.52%,-2.01%,-6.89%
195111,0.11%,0.48%,-0.07%,-1.67%,0.34%,-0.19%,2.05%,-0.61%,-0.77%,-0.48%,0.11%,1.09%,-0.53%,1.20%,1.71%,1.91%,1.51%,-1.84%,2.06%,4.11%,-0.86%,1.66%,0.49%,0.67%,3.59%,1.65%,2.19%,0.97%,1.19%,1.75%,3.29%,2.67%
195112,0.12%,3.37%,2.34%,2.72%,0.83%,-2.09%,-2.43%,2.41%,1.25%,5.14%,8.34%,1.37%,3.22%,0.44%,3.78%,4.79%,3.53%,1.34%,-1.74%,-0.79%,4.80%,3.27%,0.87%,1.46%,5.10%,3.38%,1.68%,-0.67%,-0.34%,0.60%,6.18%,3.29%
195201,0.15%,1.54%,0.78%,-4.04%,5.21%,-0.18%,-1.79%,0.49%,1.32%,0.65%,-3.33%,-5.11%,0.15%,3.03%,0.70%,-1.09%,-1.31%,3.35%,4.78%,4.96%,6.62%,3.08%,0.18%,6.21%,-2.60%,0.52%,3.72%,0.49%,-0.53%,3.53%,2.74%,1.75%
195202,0.12%,-2.62%,-1.25%,-3.35%,-2.60%,0.07%,-2.13%,-0.33%,-3.73%,-4.25%,-3.41%,-3.64%,-1.94%,-6.11%,-2.53%,-3.85%,-0.24%,-3.66%,-5.04%,1.28%,-3.46%,0.68%,-0.63%,-1.81%,-2.37%,-2.36%,-1.68%,-3.27%,-3.41%,0.07%,-0.27%,-5.48%
195203,0.11%,4.45%,1.49%,-0.22%,1.87%,0.84%,3.55%,2.21%,2.96%,0.45%,3.33%,3.98%,3.40%,1.87%,3.16%,7.74%,8.84%,1.39%,2.00%,0.41%,8.84%,2.23%,1.26%,1.44%,0.99%,2.43%,8.34%,-0.96%,2.30%,5.02%,3.93%,3.43%
195204,0.12%,-5.01%,-2.01%,-9.33%,-3.83%,-5.89%,-2.78%,-5.39%,-3.24%,-5.50%,-7.28%,-5.08%,-3.93%,-7.80%,-4.46%,-3.77%,-3.86%,-4.21%,-5.79%,-8.02%,-7.65%,-1.80%,-0.75%,-1.91%,-2.63%,-5.82%,-3.38%,-5.86%,-1.51%,-1.54%,-1.53%,-3.78%
195205,0.13%,3.16%,2.45%,1.76%,-0.45%,-7.83%,2.26%,-0.48%,1.82%,2.52%,6.66%,5.02%,3.73%,2.53%,2.91%,3.07%,4.16%,5.31%,2.43%,4.86%,3.50%,2.99%,1.03%,0.41%,2.67%,2.73%,4.41%,3.64%,2.72%,1.32%,2.64%,0.71%
195206,0.15%,3.78%,2.27%,2.64%,3.72%,1.03%,0.62%,2.31%,2.68%,-0.96%,3.97%,5.68%,1.95%,5.74%,1.85%,6.63%,6.21%,5.58%,4.24%,2.11%,5.50%,1.10%,2.06%,0.84%,4.52%,4.47%,5.07%,2.50%,2.77%,1.12%,2.68%,-0.84%
195207,0.15%,1.00%,0.47%,5.65%,-0.82%,-1.22%,1.75%,2.07%,3.09%,-4.38%,1.27%,-1.88%,1.19%,3.29%,3.89%,1.44%,2.41%,0.71%,1.55%,0.52%,-1.04%,2.03%,0.25%,-0.89%,1.37%,3.72%,0.70%,-0.77%,2.26%,-0.55%,2.54%,4.22%
195208,0.15%,-0.81%,1.39%,0.10%,1.53%,5.31%,-1.50%,0.08%,-1.64%,-0.57%,-1.60%,-0.21%,-0.98%,-2.32%,-2.05%,-0.07%,1.55%,0.24%,0.30%,-0.91%,-2.68%,1.82%,0.89%,1.07%,-0.49%,-1.30%,-0.35%,-1.86%,0.00%,3.81%,-1.18%,1.59%
195209,0.16%,-2.06%,-1.74%,-12.59%,-0.62%,-1.44%,-0.32%,-0.90%,-1.03%,-4.09%,-1.70%,-5.58%,-1.73%,-3.85%,-1.68%,2.26%,-0.94%,-1.61%,-2.48%,0.53%,-4.37%,0.33%,-0.34%,-2.63%,-1.16%,-0.68%,-1.90%,-4.31%,-0.42%,1.21%,0.29%,-0.50%
195210,0.14%,-0.69%,-1.71%,-2.33%,7.20%,-6.05%,0.17%,0.99%,-3.17%,-1.49%,-2.08%,-7.16%,-2.05%,-1.55%,-2.00%,-0.58%,1.32%,0.66%,-4.98%,-2.13%,0.41%,0.34%,0.92%,1.73%,-1.94%,-1.65%,0.54%,1.36%,-1.44%,-0.58%,-3.29%,-4.90%
195211,0.10%,5.78%,4.75%,9.65%,8.21%,8.70%,3.49%,5.26%,7.31%,7.22%,10.10%,5.79%,7.20%,7.79%,7.28%,10.53%,7.52%,5.70%,6.13%,9.68%,1.97%,5.08%,4.07%,-0.72%,6.58%,8.34%,7.44%,4.32%,3.89%,0.11%,7.80%,8.06%
195212,0.16%,2.96%,1.56%,-0.46%,0.41%,6.51%,2.51%,1.16%,0.55%,-1.95%,1.68%,4.24%,2.73%,4.19%,2.36%,2.52%,7.06%,2.31%,2.12%,-1.82%,4.64%,2.01%,0.88%,-0.69%,4.11%,2.97%,3.75%,2.09%,1.63%,5.11%,4.08%,0.08%
195301,0.16%,-0.29%,2.61%,0.31%,4.74%,0.45%,3.34%,0.64%,0.48%,-5.11%,0.20%,-2.76%,0.97%,1.43%,-0.16%,-3.34%,-0.45%,6.47%,-0.26%,2.05%,-3.06%,0.91%,1.03%,2.57%,-0.31%,-1.37%,1.74%,-0.17%,1.32%,3.38%,-0.01%,2.27%
195302,0.14%,-0.31%,0.52%,0.20%,5.15%,4.00%,4.33%,-0.67%,3.79%,2.06%,-2.62%,1.63%,0.05%,-0.39%,-0.71%,0.34%,-1.17%,1.61%,3.29%,-0.59%,0.34%,0.51%,-0.43%,0.06%,0.83%,1.23%,-1.15%,-1.54%,0.14%,2.95%,-0.22%,-1.57%
195303,0.18%,-1.52%,-0.41%,-1.57%,-4.47%,4.91%,-0.31%,-0.57%,-2.12%,-0.17%,0.07%,-4.92%,-0.29%,-4.70%,-0.71%,-1.63%,-4.54%,-4.24%,-3.95%,-6.58%,-0.47%,0.16%,-0.43%,3.89%,0.90%,-1.08%,-2.38%,-1.71%,-1.56%,1.30%,0.77%,1.80%
195304,0.16%,-2.91%,-0.64%,-3.71%,4.51%,-2.55%,-1.68%,-3.30%,-1.26%,-5.34%,-3.34%,-2.78%,-2.09%,-2.04%,-1.77%,0.81%,-2.05%,-4.09%,-2.01%,-6.80%,-5.16%,-2.95%,-1.04%,-0.99%,-2.50%,-2.08%,-2.92%,-3.26%,-0.42%,-0.89%,-4.55%,-1.37%
195305,0.17%,0.54%,0.33%,0.80%,-0.15%,-0.02%,0.49%,0.08%,0.56%,-0.04%,0.01%,-0.39%,0.10%,0.05%,-0.39%,0.99%,-0.24%,3.08%,-1.86%,-0.33%,1.87%,-0.13%,0.37%,6.81%,1.43%,1.30%,2.76%,0.24%,1.90%,-0.12%,0.60%,2.16%
195306,0.18%,-1.85%,-1.46%,-0.93%,1.36%,-1.91%,-3.70%,-4.72%,-1.53%,-3.31%,-1.26%,-0.37%,-4.47%,-2.79%,-4.15%,-1.89%,-2.98%,-3.35%,-3.99%,-3.45%,-0.04%,-2.98%,0.50%,1.53%,-2.24%,-0.79%,-1.25%,-6.15%,-2.44%,-3.40%,-2.93%,-1.31%
195307,0.15%,2.38%,2.44%,3.66%,4.68%,3.17%,-0.50%,5.59%,0.16%,3.66%,2.75%,1.35%,2.39%,3.33%,0.62%,2.42%,0.60%,0.07%,1.16%,0.42%,3.98%,3.42%,0.94%,-0.36%,2.10%,3.36%,1.46%,0.19%,2.53%,1.32%,1.30%,0.71%
195308,0.17%,-4.58%,-2.65%,-2.47%,-5.64%,-6.35%,-4.69%,-3.73%,-1.17%,0.05%,-2.76%,-5.20%,-4.27%,-8.00%,-6.42%,-6.01%,-6.53%,-3.38%,-6.74%,-7.12%,-6.36%,-0.35%,-0.84%,-2.59%,-1.36%,-5.30%,-8.67%,0.28%,-2.68%,-8.57%,-2.93%,-1.05%
195309,0.16%,0.15%,0.00%,-2.69%,3.67%,-2.69%,1.58%,-1.57%,-1.77%,0.42%,1.80%,-2.30%,0.85%,-0.48%,0.42%,5.00%,-0.37%,0.82%,-0.72%,-3.48%,-1.91%,1.65%,1.77%,0.15%,0.37%,3.79%,-1.69%,-2.15%,0.39%,-0.56%,0.51%,-1.04%
195310,0.13%,4.58%,1.08%,3.09%,-1.96%,2.69%,5.13%,6.53%,1.92%,2.66%,4.51%,0.36%,6.01%,8.23%,4.33%,8.60%,8.06%,5.77%,3.36%,1.55%,5.68%,4.46%,1.39%,5.61%,4.67%,7.03%,3.62%,1.29%,0.54%,0.22%,4.54%,3.97%
195311,0.08%,2.75%,2.86%,4.59%,-7.88%,10.24%,2.08%,4.41%,0.63%,7.98%,4.73%,-0.81%,4.36%,2.04%,3.08%,6.83%,0.85%,4.98%,-0.57%,3.22%,1.98%,3.00%,2.26%,2.18%,1.47%,6.80%,1.97%,1.60%,3.04%,2.19%,4.10%,4.09%
195312,0.13%,-0.05%,1.23%,-1.44%,-4.58%,2.24%,2.58%,-0.19%,-1.22%,-1.34%,0.83%,-3.19%,1.41%,-0.86%,-0.20%,-0.69%,-0.75%,1.66%,-3.53%,-4.64%,0.50%,0.70%,0.53%,2.89%,3.50%,1.08%,-3.72%,-0.51%,1.42%,-0.89%,0.26%,4.77%
195401,0.11%,5.14%,4.10%,6.52%,2.06%,3.27%,4.09%,4.15%,2.79%,5.65%,1.04%,7.72%,6.39%,7.56%,8.09%,7.15%,5.66%,7.94%,8.19%,9.49%,8.63%,3.32%,1.89%,1.42%,6.24%,4.37%,7.92%,7.60%,2.83%,6.10%,4.14%,4.96%
