mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
200107,0.30%,-2.13%,3.97%,0.79%,-9.19%,-6.25%,-0.51%,4.71%,0.09%,2.27%,-2.94%,10.11%,0.57%,-2.19%,-2.48%,-5.24%,3.81%,3.39%,-5.96%,-16.49%,-2.44%,-3.69%,-0.56%,-9.41%,-4.38%,5.58%,0.20%,0.28%,5.40%,3.86%,-0.68%,-9.04%
200108,0.31%,-6.22%,3.11%,6.13%,4.67%,-0.48%,-4.46%,1.06%,-4.52%,-3.10%,-1.21%,-3.59%,-0.44%,-6.17%,-5.46%,-2.17%,-13.66%,-5.62%,2.55%,6.71%,-3.70%,0.27%,-9.30%,-12.30%,-11.23%,-1.86%,-4.70%,-4.26%,-8.41%,1.16%,-5.46%,-5.25%
200109,0.28%,-9.43%,-0.48%,-3.20%,2.92%,-17.30%,-8.28%,-5.02%,-17.73%,-0.63%,-9.52%,-17.00%,-13.58%,-22.04%,-19.97%,-13.38%,-17.85%,-23.81%,-0.80%,-15.69%,-5.60%,-6.85%,-1.96%,-12.95%,-24.56%,-8.77%,-17.55%,-8.03%,-9.78%,-13.22%,-5.70%,-11.36%
200110,0.22%,2.58%,1.79%,1.36%,-2.82%,8.39%,-0.19%,1.21%,7.57%,1.26%,3.61%,5.06%,4.97%,2.43%,10.51%,0.64%,-1.76%,4.13%,-3.02%,30.00%,4.69%,1.90%,-9.67%,10.54%,19.64%,1.29%,4.90%,-7.80%,3.44%,2.86%,-1.51%,-0.83%
200111,0.17%,7.70%,0.87%,-0.04%,1.19%,10.89%,9.82%,6.06%,9.86%,5.06%,11.10%,7.88%,8.05%,15.75%,7.86%,10.64%,17.34%,7.85%,2.34%,-14.02%,-4.03%,-1.84%,5.80%,11.90%,20.39%,9.58%,12.01%,-2.85%,13.07%,5.93%,6.87%,5.75%
200112,0.15%,1.63%,2.55%,1.61%,-1.72%,5.41%,3.66%,1.85%,7.03%,-2.78%,-1.37%,12.19%,8.07%,-2.62%,6.63%,4.56%,-3.42%,5.24%,3.64%,10.21%,6.15%,3.66%,2.54%,3.10%,-4.04%,2.29%,3.08%,1.91%,4.97%,4.15%,3.13%,4.37%
200201,0.14%,-1.74%,1.31%,-3.76%,8.44%,5.81%,0.39%,2.70%,5.42%,-2.46%,-1.73%,4.52%,2.26%,-0.25%,2.18%,1.74%,3.07%,5.48%,2.13%,-9.45%,-2.94%,-4.37%,-6.94%,-6.78%,3.34%,0.13%,6.93%,3.85%,2.11%,6.29%,-1.37%,-6.52%
200202,0.13%,-2.30%,1.30%,8.17%,5.04%,1.15%,6.99%,2.63%,-0.72%,-0.47%,4.78%,5.50%,4.59%,0.03%,3.96%,-0.60%,5.97%,8.22%,5.29%,-1.23%,5.25%,-0.25%,-2.22%,-8.24%,-16.88%,5.28%,1.71%,-3.05%,0.32%,-1.32%,-1.10%,2.55%
200203,0.13%,4.34%,1.56%,8.32%,1.59%,8.54%,4.99%,4.51%,4.77%,0.56%,5.13%,0.72%,1.46%,6.04%,10.10%,4.84%,7.44%,3.15%,7.97%,14.89%,7.81%,10.33%,0.12%,4.13%,9.77%,1.84%,2.91%,4.91%,1.54%,5.44%,6.21%,-0.47%
200204,0.15%,-5.12%,1.45%,5.04%,3.29%,3.83%,-2.19%,0.09%,2.89%,-7.62%,-4.84%,9.39%,3.93%,-7.09%,-2.44%,-1.57%,1.70%,-3.30%,-0.08%,-6.45%,-4.34%,-1.06%,-12.95%,-15.00%,-8.37%,2.18%,-6.04%,1.20%,-2.23%,3.96%,-1.11%,-12.17%
